VendorID,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration,pickup_hour,pickup_day,pickup_dayofweek,is_weekend,is_rush_hour
2,N,1,93,93,1,3.58,15.6,1.0,0.5,0.0,0.0,1.0,18.1,2,1,0.0,0.0,369.0,3,1,5,1,0
2,N,1,112,224,1,4.81,21.2,1.0,0.5,5.44,0.0,1.0,32.64,1,1,2.75,0.75,783.0,3,1,5,1,0
2,N,1,69,47,2,1.06,7.9,1.0,0.5,0.0,0.0,1.0,10.4,2,1,0.0,0.0,318.0,3,1,5,1,0
2,N,1,95,196,1,1.09,7.2,1.0,0.5,0.0,0.0,1.0,9.7,1,1,0.0,0.0,292.0,3,1,5,1,0
2,N,1,166,236,2,2.31,12.8,1.0,0.5,2.0,0.0,1.0,17.3,1,1,0.0,0.0,555.0,3,1,5,1,0
2,N,5,264,264,1,0.03,29.0,0.0,0.0,3.0,0.0,1.0,33.0,1,2,0.0,0.0,2.0,3,1,5,1,0
2,N,1,112,255,1,1.03,7.9,1.0,0.5,2.08,0.0,1.0,12.48,1,1,0.0,0.0,385.0,3,1,5,1,0
2,N,1,95,197,1,4.55,21.2,1.0,0.5,0.0,0.0,1.0,23.7,2,1,0.0,0.0,886.0,3,1,5,1,0
2,N,5,255,225,2,2.42,30.0,0.0,0.0,6.2,0.0,1.0,37.2,1,2,0.0,0.0,760.0,3,1,5,1,0
2,N,1,157,36,1,0.8,6.5,1.0,0.5,0.0,0.0,1.0,9.0,1,1,0.0,0.0,209.0,3,1,5,1,0
2,N,1,256,90,1,5.12,24.7,1.0,0.5,5.85,0.0,0.3,35.1,1,1,2.75,0.0,1175.0,3,1,5,1,0
2,N,1,34,49,1,1.16,9.3,1.0,0.5,3.54,0.0,1.0,15.34,1,1,0.0,0.0,467.0,3,1,5,1,0
2,N,1,129,138,1,3.83,17.0,6.0,0.5,4.9,0.0,1.0,29.4,1,1,0.0,0.0,510.0,3,1,5,1,0
2,N,1,243,166,1,4.26,18.4,1.0,0.5,0.0,0.0,1.0,20.9,1,1,0.0,0.0,450.0,3,1,5,1,0
2,N,1,112,144,1,4.26,21.2,1.0,0.5,5.44,0.0,1.0,32.64,1,1,2.75,0.75,840.0,4,1,5,1,0
2,N,1,244,243,1,1.36,10.0,1.0,0.5,0.0,0.0,1.0,12.5,2,1,0.0,0.0,431.0,4,1,5,1,0
2,N,1,244,69,1,2.32,0.0,0.0,-0.5,0.0,0.0,-1.0,-1.5,2,1,0.0,0.0,1638.0,4,1,5,1,0
2,N,1,244,69,1,2.32,0.0,0.0,0.5,0.0,0.0,1.0,1.5,2,1,0.0,0.0,1638.0,4,1,5,1,0
2,N,1,112,33,1,5.06,22.6,1.0,0.5,5.02,0.0,1.0,30.12,1,1,0.0,0.0,730.0,4,1,5,1,0
2,N,1,34,255,1,2.16,12.8,1.0,0.5,3.06,0.0,1.0,18.36,1,1,0.0,0.0,551.0,4,1,5,1,0
1,N,1,82,264,1,1.1,8.6,1.0,1.5,0.0,0.0,1.0,11.1,2,1,0.0,0.0,468.0,4,1,5,1,0
2,N,1,129,70,2,1.85,12.1,1.0,0.5,2.92,0.0,1.0,17.52,1,1,0.0,0.0,619.0,4,1,5,1,0
2,N,1,82,83,1,1.36,10.7,1.0,0.5,3.96,0.0,1.0,17.16,1,1,0.0,0.0,513.0,4,1,5,1,0
2,N,5,80,36,1,1.37,25.0,0.0,0.0,0.0,0.0,1.0,26.0,1,2,0.0,0.0,441.0,3,1,5,1,0
2,N,1,82,138,1,3.71,16.3,6.0,0.5,3.0,0.0,1.0,26.8,1,1,0.0,0.0,466.0,5,1,5,1,0
2,N,1,247,247,1,1.25,7.9,1.0,0.5,0.0,0.0,1.0,10.4,2,1,0.0,0.0,250.0,5,1,5,1,0
2,N,1,75,42,1,1.67,8.6,1.0,0.5,1.66,0.0,1.0,12.76,1,1,0.0,0.0,327.0,5,1,5,1,0
2,N,1,82,138,1,3.83,17.7,6.0,0.5,0.0,0.0,1.0,25.2,1,1,0.0,0.0,610.0,5,1,5,1,0
2,N,1,74,74,1,0.7,5.8,0.0,0.5,1.82,0.0,1.0,9.12,1,1,0.0,0.0,175.0,6,1,5,1,0
2,N,5,41,41,1,0.14,25.0,0.0,0.0,5.2,0.0,1.0,31.2,1,2,0.0,0.0,4.0,6,1,5,1,0
2,N,1,74,236,1,1.58,8.6,0.0,0.5,3.86,0.0,1.0,16.71,1,1,2.75,0.0,316.0,6,1,5,1,0
2,N,1,82,138,1,2.6,13.5,5.0,0.5,3.86,0.0,0.3,23.16,1,1,0.0,0.0,483.0,6,1,5,1,0
2,N,1,75,213,1,0.0,12.1,0.0,0.5,0.0,0.0,1.0,13.6,2,1,0.0,0.0,834.0,6,1,5,1,0
2,N,1,7,179,1,0.78,7.2,0.0,0.5,0.0,0.0,1.0,8.7,2,1,0.0,0.0,303.0,7,1,5,1,1
2,N,1,74,262,1,2.7,15.6,0.0,0.5,3.97,0.0,1.0,23.82,1,1,2.75,0.0,800.0,7,1,5,1,1
2,N,5,43,43,1,0.06,7.0,0.0,0.0,2.0,0.0,1.0,10.0,1,2,0.0,0.0,4.0,7,1,5,1,1
2,N,1,41,74,1,1.17,9.3,0.0,0.5,3.24,0.0,1.0,14.04,1,1,0.0,0.0,440.0,7,1,5,1,1
2,N,1,74,263,1,2.63,14.2,0.0,0.5,0.0,0.0,1.0,18.45,2,1,2.75,0.0,652.0,7,1,5,1,1
2,N,1,74,152,1,1.53,10.7,0.0,0.5,2.44,0.0,1.0,14.64,1,1,0.0,0.0,528.0,8,1,5,1,1
2,N,1,74,75,1,1.46,10.0,0.0,0.5,2.3,0.0,1.0,13.8,1,1,0.0,0.0,490.0,6,1,5,1,0
2,N,1,166,166,4,0.93,7.2,0.0,0.5,1.74,0.0,1.0,10.44,1,1,0.0,0.0,287.0,7,1,5,1,1
2,N,1,236,236,1,0.97,7.9,0.0,0.5,2.0,0.0,1.0,14.15,1,1,2.75,0.0,309.0,7,1,5,1,1
2,N,1,95,131,1,4.43,19.8,0.0,0.5,0.0,0.0,1.0,21.3,1,1,0.0,0.0,622.0,7,1,5,1,1
2,N,1,74,75,1,1.4,10.0,0.0,0.5,1.72,0.0,1.0,13.22,1,1,0.0,0.0,491.0,7,1,5,1,1
2,N,1,130,191,1,3.7,19.1,0.0,0.5,0.0,0.0,1.0,20.6,1,1,0.0,0.0,954.0,7,1,5,1,1
2,N,1,75,263,1,1.33,7.9,0.0,0.5,0.85,0.0,1.0,13.0,1,1,2.75,0.0,368.0,7,1,5,1,1
2,N,1,74,140,1,3.72,17.7,0.0,0.5,5.49,0.0,1.0,27.44,1,1,2.75,0.0,591.0,7,1,5,1,1
2,N,1,75,74,1,1.3,7.2,0.0,0.5,2.18,0.0,1.0,10.88,1,1,0.0,0.0,187.0,7,1,5,1,1
2,N,1,157,112,1,2.76,16.3,0.0,0.5,0.0,0.0,1.0,17.8,2,1,0.0,0.0,875.0,7,1,5,1,1
1,N,1,166,239,1,1.6,10.7,2.75,1.5,2.95,0.0,1.0,17.9,1,1,2.75,0.0,514.0,7,1,5,1,1
2,N,1,74,75,1,1.24,8.6,0.0,0.5,2.02,0.0,1.0,12.12,1,1,0.0,0.0,370.0,7,1,5,1,1
2,N,1,43,48,2,3.64,17.7,0.0,0.5,0.0,0.0,1.0,22.7,2,1,2.75,0.75,802.0,7,1,5,1,1
2,N,1,74,43,2,1.49,10.7,0.0,0.5,0.0,0.0,1.0,12.2,1,1,0.0,0.0,480.0,7,1,5,1,1
2,N,1,247,247,1,4.62,21.2,0.0,0.5,2.0,0.0,1.0,24.7,1,1,0.0,0.0,956.0,7,1,5,1,1
2,N,1,244,166,1,2.59,12.8,0.0,0.5,2.86,0.0,1.0,17.16,1,1,0.0,0.0,418.0,7,1,5,1,1
2,N,1,166,24,1,1.12,7.2,0.0,0.5,0.0,0.0,1.0,8.7,2,1,0.0,0.0,333.0,7,1,5,1,1
2,N,1,223,223,1,1.01,9.3,0.0,0.5,0.0,0.0,1.0,10.8,2,1,0.0,0.0,453.0,8,1,5,1,1
2,N,1,74,74,1,0.5,5.1,0.0,0.5,0.0,0.0,1.0,6.6,2,1,0.0,0.0,159.0,8,1,5,1,1
2,N,1,74,263,1,2.39,12.8,0.0,0.5,0.0,0.0,1.0,17.05,2,1,2.75,0.0,641.0,8,1,5,1,1
2,N,1,74,236,1,2.31,12.1,0.0,0.5,0.0,0.0,1.0,16.35,2,1,2.75,0.0,515.0,8,1,5,1,1
